,科目,Subject,english
0,科技管理,Technology Management,True
1,顧客關係管理,Customer Relationship Management,True
2,專案管理,Project Management,True
3,電子商務,Electronic Commerce,True
4,知識管理,Knowledge Management,False
5,策略管理,Strategy Management,False
6,科技行銷管理,Marketing of High-Technology,False
7,管理決策分析,Management Decision Analysis,False
8,企業資源規劃,Enterprise Resource Planning,False
9,資訊服務管理方法,Information Service Management,False
10,企業電子化策略,e Business Strategy,False
11,多變量分析,Multivariate Analysis,False
12,結構化方程式,Structural Equation Model,False
