代碼,學分,學時,老師,班級,Subject,科目,時間,地點
1102,3,3,謝慶雄,四機三選 1, Numerical analysis,數值分析,一02-04,機械館機械系統設計實驗室
1103,3,3,謝瑞青,四機三選 1, Technology and Application of Renewable Energy,可再生能源技術與應用,一02-04,國秀樓301教室
1104,3,3,顏木田,四機三選 1, The theory and Practice of Mechatronics,機電整合,一02-04,機械館自動控制實驗室
1105,3,3,陳永銓,四機三選 1, Vibrations,振動學,一02-04,國秀樓302教室
1108,3,3,郝敏仁,四機三選 2, Practice of Digital IC,數位IC實務,二06-08,機械館電子實驗室
1109,3,3,盧鴻華,四機三選 2, Semiconductor Fabrication Process,半導體製程,二05-07,國秀樓301教室
1110,3,3,張子欽,四機三選 2, Computer Numerical Control Manufactur（II）,CNC加工（二）,二05-07,"機械館綜合工廠), 二05-0"
1111,3,3,林清福,四機三選 2, MATLAB for Engineering Applications,MATLAB 軟體之工程應用,二05-07,機械館CAE電腦教室
1112,3,3,葉彥良,四機三選 2, Creative Design of Mechanisms,創意機構設計,二06-08,機械館微控制器實驗室
1114,3,3,機科技英文,四機三選 3, English for Science and Technology,科技英文,三02-04,國秀樓2F語言教室C
1115,3,3,楊梓群,四機三選 3, Microcontroller,微控制器,三02-04,機械館微控制器實驗室
1116,3,3,林清福,四機三選 3, Reverse engineering,逆向工程,三02-04,機械館CAE電腦教室
1117,3,3,邱俊智,四機三選 3, Practices of Robot Control,機器人控制實務,三02-04,機械館自動控制實驗室
1118,3,3,林岳鋒,四機三選 3, 3D Parametric Mechanical Design,3D參數化機械設計,三02-04,機械館電腦繪圖室
1119,3,3,朱玟霖,四機三選 3, Linear Algebra,線性代數,三02-04,國秀樓302教室
1121,3,3,沈銘原,四機四選 1, Introduction to Aeronautical Manufacturing,航空產業概論,一05-07,工具機學院大樓一樓視訊會議室
1127,3,3,朱玟霖,四機四選 2, Introduction to Instrumentation of Medical Engineering,醫工設備概論,二02-04,國秀樓402教室
1129,3,3,林金雄,四機四選 3, Industrial Safety and Health,工業安全與衛生,三05-07,國秀樓309教室
1131,9,9,機校外實習,機校外實習, Extracurricular Intern （Ⅱ）,校外實習（二）,,
1132,0,3,姚威宏,機-專題師徒, Mentor-Apprentice Internship Course for Project （I）,專題師徒實習（一）,,
1133,0,3,謝明珠,機-專題師徒, Mentor-Apprentice Internship Course for Project （I）,專題師徒實習（一）,,
1151,3,3,江東源,四機一甲, Material Science and Engineering（Ⅱ）,材料科學與工程（二）,四08-08,"國秀樓302教室), 三03-0"
1152,1,3,蘇怡甄,四機一甲, Precision manufacture practicum,精密製造實習,一06-08,"機械館綜合工廠), 一06-0"
1153,3,3,陳志明,四機一甲, Statics,靜力學,一05-05,"機械館材料實驗室), 二05-0"
1154,3,3,葉彥良,四機一甲, Manufacturing Processes,製造學,四06-07,"國秀樓302教室), 三05-0"
1155,3,3,盧鴻華,四機一乙, Material Science and Engineering（Ⅱ）,材料科學與工程（二）,三03-04,"國秀樓301教室), 二08-0"
1156,1,3,張子欽,四機一乙, Precision manufacture practicum,精密製造實習,四06-08,"機械館綜合工廠), 四06-0"
1157,3,3,邱俊智,四機一乙, Statics,靜力學,四05-05,"國秀樓303教室), 二05-0"
1158,3,3,楊梓群,四機一乙, Manufacturing Processes,製造學,三07-07,"國秀樓301教室), 一05-0"
1159,3,3,林金雄,四機一丙, Material Science and Engineering（Ⅱ）,材料科學與工程（二）,四05-05,"國秀樓301教室), 三03-0"
1160,1,3,張子欽,四機一丙, Precision manufacture practicum,精密製造實習,三05-07,"機械館綜合工廠), 三05-0"
1161,3,3,謝慶雄,四機一丙, Statics,靜力學,一05-06,"國秀樓301教室), 二05-0"
1162,3,3,江東源,四機一丙, Manufacturing Processes,製造學,四06-07,"國秀樓301教室), 二02-0"
