,學年,學期,科目名稱,修別,學分,成績,排名,備註,pass
1,108.0,上學期,萃思創意思考與應用,選修,3.0,17.0,,X,False
2,108.0,上學期,巨量資料分析,選修,3.0,,,抵免,True
3,108.0,上學期,企業資源規劃,選修,3.0,0.0,,X,False
4,108.0,上學期,操行,必修,0.0,86.0,,,True
6,108.0,上學期,書報討論（一）,必修,1.0,,,抵免,True
7,108.0,上學期,創新研究,必修,3.0,,,抵免,True
8,108.0,上學期,研究方法,必修,3.0,,,抵免,True
9,108.0,下學期,科技管理,選修,3.0,89.0,,,True
10,108.0,下學期,操行,必修,0.0,85.0,,,True
12,109.0,上學期,萃思創意思考與應用,選修,3.0,94.0,,,True
13,109.0,上學期,操行,必修,0.0,89.0,,,True
15,109.0,下學期,演算法,選修,3.0,92.0,,,True
16,109.0,下學期,操行,必修,0.0,86.0,,,True
18,109.0,下學期,管理資訊系統,必修,3.0,89.0,,,True
