代碼,學分,學時,老師,班級,Subject,科目,時間,地點
3201,3,3,林進榮,四資二選1, Discrete Mathematics,離散數學,二02-04,管理館M501
3202,3,3,陳世銘,四資二選1, Image Processing and Applications,影像處理與應用,二02-04,管理館M511
3203,3,3,吳志盛,四資二選1, Interactive Web Page Design,互動式網頁設計,二02-04,管理館M513
3207,3,3,陳宏昌,四資三選2, Algorithms,演算法,二06-08,管理館M419
3212,3,3,陳仕昇,四資三選2, Big Data Analysis,巨量資料分析,二05-07,管理館M511
3213,3,3,林進榮,四資三選2, Puzzle Game Design,益智遊戲設計,二05-07,管理館M513
3214,3,3,張維平,四資三選3, Emerging Technologies and Applications,新興科技與應用,三02-04,管理館M402A
3215,3,3,曹文瑜,四資三選3, ERP,進銷存管理資訊系統,三02-04,管理館M513
3221,3,3,黃俊明,四資三選3, Three Dimensional Shape Design and Printing Technology,3D造型設計與列印實務,三02-04,管理館M511
3222,3,3,廖文忠,四資三選3, Web information system devolopment,網站資訊系統開發實務,三02-04,管理館M514
3223,3,3,楊惠貞,四資三選7,,研究方法,二02-04,管理館M510B
3224,3,3,王清林,四資三選7, Internet of Things Application Practice,物聯網應用與實務,二02-04,管理館M514
3225,3,3,張裕幸,四資四選4, Software Engineering,軟體工程,一05-07,管理館M513
3226,3,3,徐欣怡,四資四選4, Management Psychology,管理心理學,一06-08,管理館M503
3228,3,3,劉宜菁,四資四選5, Innovative IT Applications & Cases,創新IT應用與個案研討,四05-07,管理館M503
3230,3,3,張裕幸,四資四選5, Data Warehouse and Data Mining,資料倉儲與挖掘,四05-07,管理館M511
3234,3,3,張裕幸,四資四選6, Information and Law,資訊與法律,五02-04,管理館M502
3235,9,9,資校外實習,四資四選, Extracurricular Intern,校外實習（一）,,
3240,3,3,洪龍廷,四資一甲, Economics,經濟學,一02-02,"管理館M501), 三03-0"
3241,2,2,范振銘,四資一甲, Accounting（Ⅰ）,會計學（一）,三01-02,管理館M502
3242,3,3,廖文忠,四資一甲, Introduction to Computer Science,計算機概論,二05-06,"管理館M502), 四06-0"
3243,3,4,林進榮,四資一甲, Object-Oriented Programming Language,物件導向程式設計,一05-06,"管理館M501), 五05-0"
3244,3,3,洪龍廷,四資一乙, Economics,經濟學,三02-02,"管理館M501), 一03-0"
3245,2,2,范振銘,四資一乙, Accounting（Ⅰ）,會計學（一）,三03-04,管理館M501
3246,3,3,廖文忠,四資一乙, Introduction to Computer Science,計算機概論,二07-07,"管理館M502), 四07-0"
3247,3,4,黃展鵬,四資一乙, Object-Oriented Programming Language,物件導向程式設計,三05-06,"管理館M511), 五05-0"
3248,3,3,陳宏昌,四資二甲, Production and Operation Management,生產與作業管理,一06-06,"管理館M419), 四07-0"
3249,3,3,楊惠貞,四資二甲, Marketing,行銷學,一02-02,"管理館M419), 三03-0"
3250,3,3,王清林,四資二甲, Statistics（Ⅰ）,統計學（一）,二05-07,管理館M501
3251,3,3,曹文瑜,四資二甲, Database Theory and Management,資料庫管理系統,一03-04,"管理館M513), 五02-0"
3252,3,4,黃淑賢,四資二甲, Web Application Programming,網頁應用程式設計,三05-06,"管理館M514), 四05-0"
3253,3,3,劉宜菁,四資二甲, Management Information System,資訊管理導論,四02-02,"管理館M503), 五03-0"
3254,3,3,陳宏昌,四資二乙, Production and Operation Management,生產與作業管理,一07-08,"管理館M419), 四06-0"
3255,3,3,楊惠貞,四資二乙, Marketing,行銷學,一03-04,"管理館M419), 三02-0"
3256,3,3,廖文忠,四資二乙, Statistics（Ⅰ）,統計學（一）,四05-05,"管理館M419), 五07-0"
3257,3,3,曹文瑜,四資二乙, Database Theory and Management,資料庫管理系統,一02-02,"管理館M513), 五03-0"
